,단어,품사,sign
0,도와주다,VV,1
1,편히,MAG,1
2,챙겨주다,VV,1
3,친,XPN,1
4,덕분,NNG,1
5,사귀다,VV,1
6,승진,NNG,1
7,친구,NNG,1
8,꾸준히,MAG,1
9,잘,MAG,1
10,후생,NNG,1
11,제일,MAG,1
12,죽마고우,NNG,1
13,대박,NNG,1
14,여행,NNG,1
15,후련하다,VV,1
16,고백,NNG,1
17,만족스럽다,VV,1
18,신혼여행,NNG,1
19,일찍,MAG,1
20,당첨되다,VV,1
21,자랑하다,VV,1
22,재미있다,VA,1
23,믿음,NNG,1
24,기분,NNG,1
25,좋아하다,VV,1
26,연애,NNG,1
27,마음,NNG,1
28,신나다,VA,1
29,성공,NNG,1
30,해외여행,NNG,1
31,흥분되다,VV,1
32,성사되다,VV,1
33,만능,NNG,1
34,편하다,VA,1
35,연애하다,VV,1
36,친하다,VA,1
37,건강,NNG,1
38,다행히,MAG,1
39,통과,NNG,1
40,되찾다,VV,1
41,확신하다,VV,1
42,믿음직스럽다,VV,1
43,멋지다,VA,1
44,큰돈,NNG,1
45,감사,NNG,1
46,행복하다,VV,1
47,믿다,VV,1
48,홀가분하다,VV,1
49,복리,NNG,1
50,태어나다,VV,1
51,취직,NNG,1
52,새롭다,VA,1
53,웨딩,NNG,1
54,수익,NNG,1
55,합격,NNG,1
56,인센티브,NNG,1
57,고맙다,VA,1
58,편안하다,VV,1
59,건강히,MAG,1
60,상속,NNG,1
61,칭찬,NNG,1
62,동료,NNG,1
63,자신,NNG,1
64,좋다,VA,1
65,시원하다,VV,1
66,다행,NNG,1
67,어울리다,VV,1
68,끄떡없다,VA,1
69,예쁘다,VA,1
70,가족,NNG,1
71,흥,NNG,1
72,옳아,IC,1
73,관심,NNG,1
74,휴가,NNG,1
75,착실하다,VV,1
76,여유,NNG,1
77,아름답다,VA,1
78,원하다,VV,1
79,제대하다,VV,1
80,착하다,VA,1
81,딸아이,NNG,1
82,건강하다,VV,1
83,완치,NNG,1
84,열심히,MAG,1
85,감사하다,VV,1
86,선물,NNG,1
87,오랜만,NNG,1
88,사랑하다,VV,1
89,우정기념,NNG,1
90,기념일,NNG,1
91,안정감,NNG,1
92,괜찮다,VA,1
93,상쾌,XR,1
94,끝내다,VV,1
95,재미,NNG,1
96,멀쩡하다,VV,1
97,풀리다,VV,1
98,높다,VA,1
99,기쁘다,VA,1
100,취직하다,VV,1
101,동창,NNG,1
102,오르다,VV,1
103,보상,NNG,1
104,생일,NNG,1
105,가볍다,VA,1
106,편안,NNG,1
107,드디어,MAG,1
108,간만,NNG,1
